song_id,song_title,release_track,release_id,release_title,release_date
1,Sleeper Agent (Just Waking Up),1,1,Collective Psychosis Begone,2007-06-05
2,Wave Backwards To Massachusetts,2,1,Collective Psychosis Begone,2007-06-05
3,Hallelujah The Hills,3,1,Collective Psychosis Begone,2007-06-05
4,The House Is All Lit Up,4,1,Collective Psychosis Begone,2007-06-05
5,Raise The Flag Of Your Sibling's Favorite Daydream,5,1,Collective Psychosis Begone,2007-06-05
6,(crux of the camera man),6,1,Collective Psychosis Begone,2007-06-05
7,Slow Motion Records Broken At Break Neck Speeds,7,1,Collective Psychosis Begone,2007-06-05
8,Effie's On The Other Side,8,1,Collective Psychosis Begone,2007-06-05
9,The Trap,9,1,Collective Psychosis Begone,2007-06-05
10,Teenage Synesthete,10,1,Collective Psychosis Begone,2007-06-05
11,It's All Been Downhill Since The Talkies Started To Sing,11,1,Collective Psychosis Begone,2007-06-05
12,To All My Scientist Colleagues I Bid You Farewell,13,1,Collective Psychosis Begone,2007-06-05
13,Nurses 5 Float Past,7,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
14,Don't Take The Law Into Your Own Hands But Take Mine In Yours,8,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
15,Let It Wave,9,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
16,Cataloging Candy's Demise,17,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
17,When Night Falls,18,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
18,Monster Eyes,19,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
19,(You Better Hope You) Die Before Me [Live January 2008],10,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
39,That Ticking Sound You Hear,14,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
40,Introductory Saints,12,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
42,Country Before Kings,2,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
43,Some Of Them We Lost,6,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
44,Amateurs,11,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
45,The Girls Are Here,15,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
56,The Three Minute Mark,5,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
57,Meet Me In The Car,4,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
58,"Honey, Don't It All Seem So Phony",1,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
59,Confessions Of An Ex-Ghost,3,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
60,Every # Has A Potency,13,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
61,Wave Backwards To Massachusetts (Big Digits Remix),16,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
62,Elementary Zombie,20,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
63,Portrait Of The Artist As A Young Trashcan,21,9,Portrait Of The Artist As A Young Trashcan,2013-05-07
26,A Guide To The World's Most Fantastic Monsters,1,3,Colonial Drones,2009-09-22
27,The Might Come Back Club,2,3,Colonial Drones,2009-09-22
28,Put The Gurus In Charge,3,3,Colonial Drones,2009-09-22
29,Blank Passports,4,3,Colonial Drones,2009-09-22
30,Allied Lions,5,3,Colonial Drones,2009-09-22
31,Oxus Pagoda,6,3,Colonial Drones,2009-09-22
32,Variations On The Grand National Championships,7,3,Colonial Drones,2009-09-22
33,Station,8,3,Colonial Drones,2009-09-22
34,The Echo Sequence,9,3,Colonial Drones,2009-09-22
35,Classic Tapes,10,3,Colonial Drones,2009-09-22
36,You Better Hope You (Die Before Me),11,3,Colonial Drones,2009-09-22
37,It Carries Back,12,3,Colonial Drones,2009-09-22
38,Flight Of The Paper Pilots,13,3,Colonial Drones,2009-09-22
46,Get Me In A Room,1,7,No One Knows What Happens Next,2012-05-22
47,Nightingale Lightning,2,7,No One Knows What Happens Next,2012-05-22
48,Care To Collapse,3,7,No One Knows What Happens Next,2012-05-22
49,Hungry Ghost Extraordinaire,4,7,No One Knows What Happens Next,2012-05-22
50,No One Knows What Happens Next,5,7,No One Knows What Happens Next,2012-05-22
51,Dead People's Music,6,7,No One Knows What Happens Next,2012-05-22
52,People Breathe Into Other People,7,7,No One Knows What Happens Next,2012-05-22
53,The Game Changes Me,8,7,No One Knows What Happens Next,2012-05-22
54,"Hello, My Destroyer",9,7,No One Knows What Happens Next,2012-05-22
55,Call Off Your Horses,10,7,No One Knows What Happens Next,2012-05-22
64,We Are What We Say We Are,1,10,Have You Ever Done Something Evil?,2014-05-13
65,Try This Instead,2,10,Have You Ever Done Something Evil?,2014-05-13
66,Destroy This Poem,3,10,Have You Ever Done Something Evil?,2014-05-13
67,Do You Have Romantic Courage?,4,10,Have You Ever Done Something Evil?,2014-05-13
68,I Stand Corrected,5,10,Have You Ever Done Something Evil?,2014-05-13
69,Home Movies,6,10,Have You Ever Done Something Evil?,2014-05-13
70,A Domestic Zone,7,10,Have You Ever Done Something Evil?,2014-05-13
71,Pick Up An Old Phone,8,10,Have You Ever Done Something Evil?,2014-05-13
72,The Posssible Nows,9,10,Have You Ever Done Something Evil?,2014-05-13
73,MCMLIV (Continuity Error),10,10,Have You Ever Done Something Evil?,2014-05-13
74,Phenomenonology,11,10,Have You Ever Done Something Evil?,2014-05-13
75,You Got Fooled,12,10,Have You Ever Done Something Evil?,2014-05-13
76,Compulsory Champagne,1,11,Juvenile Oratorios EP,2014-10-17
77,Devil Level Zero,2,11,Juvenile Oratorios EP,2014-10-17
78,Boquet of Omens,3,11,Juvenile Oratorios EP,2014-10-17
79,Kicked in the Feels,4,11,Juvenile Oratorios EP,2014-10-17
80,What Do The People Want,1,12,A Band Is Something To Figure Out,2016-04-12
81,We Have The Perimeter Surrounded,2,12,A Band Is Something To Figure Out,2016-04-12
82,The Mountain That Wanted More,3,12,A Band Is Something To Figure Out,2016-04-12
83,The Girl With Electronics Inside,4,12,A Band Is Something To Figure Out,2016-04-12
84,Spin Them Atoms,5,12,A Band Is Something To Figure Out,2016-04-12
85,"I'm In The Phone Book, I'm On The Planet, I'm Dying Slowly",6,12,A Band Is Something To Figure Out,2016-04-12
86,Play It As It Loops,7,12,A Band Is Something To Figure Out,2016-04-12
87,Hassle Magnet,8,12,A Band Is Something To Figure Out,2016-04-12
88,New Phone Who Dis,9,12,A Band Is Something To Figure Out,2016-04-12
89,The Dangers Are Doubled,10,12,A Band Is Something To Figure Out,2016-04-12
90,Realistic Birthday Music,11,12,A Band Is Something To Figure Out,2016-04-12
91,Are We Failing?,1,13,Movement Scorekeepers,2016-07-08
